gen_data/time,gen_data/delta_f_rad,gen_data/omega_wheel_fl_radps,gen_data/omega_wheel_fr_radps,gen_data/omega_wheel_rl_radps,gen_data/omega_wheel_rr_radps,gen_data/gear,cor_data/time,cor_data/vel_cog_x_mps,cor_data/vel_cog_y_mps,imu_data/time,imu_data/acc_cog_x_mps2,imu_data/acc_cog_y_mps2,imu_data/acc_cog_z_mps2,imu_data/yaw_rate_radps
0.90001136,0.0011235955,63.475,63.5425,63.7325,63.73,1.0,1714059900.0,19.485218,0.05109188,1714058200.0,-0.7394362,-1.0033396,9.81,0.00782021
0.91001153,0.0008025682,63.485,63.5575,63.7375,63.71,1.0,1714059500.0,19.45495,0.02840724,1714057700.0,-0.6311013,-0.81622386,9.81,0.007924982
0.92001164,0.0004012841,63.5025,63.56,63.77,63.7725,1.0,1714060300.0,19.485123,0.044062514,1714058400.0,-0.5442453,-0.37940103,9.81,0.0090170875
0.93001175,8.0256825e-05,63.53,63.5575,63.7875,63.7175,1.0,1714059800.0,19.485641,0.032832693,1714058000.0,-0.41044885,-0.12538497,9.81,0.008604095
0.94001186,-8.0256825e-05,63.5275,63.575,63.775,63.725,1.0,1714059800.0,19.502188,0.013983828,1714058000.0,-0.2637797,-0.372054,9.81,0.009674574
0.950012,-0.00016051365,63.5125,63.56,63.8075,63.72,1.0,1714059500.0,19.483847,0.043083172,1714057700.0,-0.23770463,-0.8045092,9.81,0.009375817
0.96001214,-0.00024077046,63.55,63.552498,63.82,63.7675,1.0,1714059500.0,19.462532,0.077363856,1714058400.0,-0.29986316,-1.036645,9.81,0.006445179
0.97001225,-0.00024077046,63.5475,63.5375,63.835,63.7525,1.0,1714059500.0,19.444477,0.102327205,1714058200.0,-0.4256158,-1.138535,9.81,0.0009361645
0.9800124,-0.00016051365,63.54,63.5375,63.785,63.75,1.0,1714060000.0,19.475819,0.09745989,1714058500.0,-0.6091426,-1.4634304,9.81,-0.0021688535
0.9900125,-8.0256825e-05,63.5,63.5275,63.7725,63.7725,1.0,1714059800.0,19.462982,0.07574877,1714057500.0,-0.7347856,-1.6997509,9.81,-0.00081264897
1.0000126,-8.0256825e-05,63.5175,63.515,63.78,63.805,1.0,1714059900.0,19.474266,0.05662433,1714058500.0,-0.7678181,-1.4630609,9.81,0.0023667046
1.0100127,-8.0256825e-05,63.5075,63.5,63.775,63.745,1.0,1714059900.0,19.472076,0.054821767,1714058100.0,-0.7552622,-0.9181328,9.81,0.0041025924
1.0200129,-2.7105054e-20,63.485,63.4975,63.76,63.71,1.0,1714059900.0,19.496925,0.07406456,1714058500.0,-0.7260574,-0.43243042,9.81,0.003921367
1.030013,-8.0256825e-05,63.4725,63.4875,63.7875,63.755,1.0,1714059800.0,19.465868,0.08731957,1714058000.0,-0.69385475,-0.32406586,9.81,0.0054406403
1.0400132,-0.00016051365,63.4625,63.4575,63.7725,63.6875,1.0,1714059900.0,19.48032,0.13054788,1714058500.0,-0.61856824,-0.49107724,9.81,0.008509907
1.0500133,-0.00016051365,63.4525,63.4525,63.71,63.6525,1.0,1714060300.0,19.476858,0.10629015,1714058900.0,-0.513549,-0.6846445,9.81,0.0093342615
1.0600134,-0.00016051365,63.43,63.44,63.7475,63.5925,1.0,1714059900.0,19.520561,0.06580155,1714058000.0,-0.48638415,-0.9783028,9.81,0.011836608
1.0700135,-0.00016051365,63.4175,63.435,63.745,63.6475,1.0,1714059900.0,19.535221,0.029894384,1714058400.0,-0.6067734,-1.4134791,9.81,0.015410149
1.0800136,-0.00024077046,63.4175,63.4175,63.7125,63.6275,1.0,1714060400.0,19.579313,0.023644889,1714058100.0,-0.8095939,-1.6396332,9.81,0.01919993
1.0900137,-0.0003210273,63.4425,63.4225,63.7375,63.61,1.0,1714059800.0,19.550343,-0.019456137,1714057600.0,-0.9659248,-1.5246693,9.81,0.018938933
1.1000139,-0.0004012841,63.4175,63.42,63.7625,63.615,1.0,1714059900.0,19.582264,-0.03864876,1714057600.0,-0.9902926,-1.300587,9.81,0.014353602
1.1100141,-0.00048154092,63.4225,63.4075,63.755,63.655,1.0,1714059400.0,19.576002,-0.023753187,1714057600.0,-0.95216566,-1.122962,9.81,0.010133168
1.1200142,-0.00048154092,63.44,63.395,63.7575,63.595,1.0,1714060000.0,19.575243,-0.05579293,1714057600.0,-0.8949159,-0.9013206,9.81,0.0055481503
1.1300143,-0.0003210273,63.44,63.3825,63.72,63.6225,1.0,1714059500.0,19.533236,-0.06744067,1714058000.0,-0.76590866,-0.58425826,9.81,0.0020385012
1.1400144,-0.00024077046,63.4225,63.3875,63.735,63.6325,1.0,1714060300.0,19.53777,-0.05382219,1714058400.0,-0.5901002,-0.51898843,9.81,-0.0034632338
1.1500145,-0.00016051365,63.43,63.39,63.7575,63.677498,1.0,1714060000.0,19.499084,-0.055978436,1714058000.0,-0.45859873,-0.9348779,9.81,-0.0056222463
1.1600146,5.421011e-20,63.44,63.3875,63.7225,63.695,1.0,1714060300.0,19.49637,-0.06781909,1714058100.0,-0.42749524,-1.3026586,9.81,-0.00325297
1.1700147,8.0256825e-05,63.44,63.3825,63.69,63.655,1.0,1714059900.0,19.46825,-0.095156446,1714058200.0,-0.48102507,-1.2703327,9.81,-0.0031965722
1.180015,8.0256825e-05,63.4625,63.3825,63.7125,63.65,1.0,1714059400.0,19.45882,-0.08321771,1714057900.0,-0.48951337,-0.98926246,9.81,-0.005521459
1.1900151,0.00016051365,63.5075,63.365,63.68,63.6925,1.0,1714059900.0,19.445518,-0.0445346,1714057600.0,-0.4707893,-0.9105099,9.81,-0.007548173
1.2000152,0.0004012841,63.5175,63.365,63.677498,63.6725,1.0,1714059500.0,19.445335,-0.014895637,1714057900.0,-0.5098949,-1.1105688,9.81,-0.0085032405
1.2100153,0.0006420546,63.5225,63.35,63.6475,63.6875,1.0,1714060300.0,19.446491,0.010581522,1714058200.0,-0.52763903,-1.1150239,9.81,-0.0063176756
1.2200154,0.0007223114,63.4975,63.322502,63.6875,63.7325,1.0,1714060000.0,19.44561,0.047171336,1714058000.0,-0.5291939,-0.8966214,9.81,-0.007024934
1.2300155,0.0008025682,63.510002,63.3125,63.6875,63.747498,1.0,1714059500.0,19.427237,0.07681512,1714057700.0,-0.4898167,-0.94122523,9.81,-0.00984951
1.2400156,0.00096308184,63.505,63.3,63.7,63.7875,1.0,1714060500.0,19.459667,0.08146798,1714058400.0,-0.39176226,-1.3114469,9.81,-0.013780159
1.2500159,0.0010433387,63.5025,63.2875,63.677498,63.77,1.0,1714059400.0,19.478127,0.07940094,1714057600.0,-0.35826722,-1.6203109,9.81,-0.017924022
1.260016,0.00096308184,63.4875,63.2875,63.67,63.74,1.0,1714060300.0,19.523354,0.08454587,1714057900.0,-0.40036118,-1.6217744,9.81,-0.021216156
1.2700161,0.00096308184,63.5175,63.287502,63.7125,63.76,1.0,1714059900.0,19.488823,0.09554612,1714058000.0,-0.50565404,-1.6069094,9.81,-0.021118041
1.2800162,0.0010433387,63.4975,63.285,63.697502,63.7925,1.0,1714059900.0,19.478027,0.08382144,1714058400.0,-0.6662614,-1.7730893,9.81,-0.01815555
1.2900163,0.0010433387,63.44,63.28,63.6625,63.7325,1.0,1714059900.0,19.46924,0.09255874,1714057600.0,-0.7660173,-1.7237967,9.81,-0.013885139
1.3000164,0.00088282506,63.4725,63.27,63.6475,63.7625,1.0,1714060000.0,19.455627,0.07608435,1714058200.0,-0.7380497,-1.3184869,9.81,-0.012698893
1.3100165,0.0007223114,63.4575,63.2925,63.655003,63.7525,1.0,1714059500.0,19.416653,0.032594193,1714057700.0,-0.6333649,-1.0002978,9.81,-0.013050797
1.3200167,0.0007223114,63.4625,63.31,63.59,63.75,1.0,1714059500.0,19.384605,0.0035491697,1714057900.0,-0.5110167,-1.1186467,9.81,-0.011427777
1.3300169,0.0006420546,63.45,63.3175,63.5925,63.6875,1.0,1714059900.0,19.399912,0.031090163,1714058200.0,-0.38319147,-1.3725972,9.81,-0.008696828
1.340017,0.0004012841,63.4625,63.315,63.57,63.72,1.0,1714059500.0,19.412163,0.013584494,1714057700.0,-0.29190338,-1.4206405,9.81,-0.007354865
1.3500171,0.00016051365,63.475,63.315,63.585,63.71,1.0,1714059900.0,19.361893,0.009027308,1714058100.0,-0.2433085,-1.4225359,9.81,-0.008844746
1.3600172,8.0256825e-05,63.4525,63.315,63.555,63.7225,1.0,1714060000.0,19.399952,0.018946506,1714058200.0,-0.3598531,-1.6177183,9.81,-0.012139759
1.3700173,0.0,63.427498,63.3,63.545002,63.7075,1.0,1714059500.0,19.421019,0.046234384,1714058200.0,-0.6224285,-1.937568,9.81,-0.014339594
